term,definition
Photosynthesis,Process by which plants convert sunlight into energy
Mitochondria,The powerhouse of the cell that produces ATP
DNA,Genetic material that carries hereditary information
Ecosystem,A community of living organisms and their environment
Homeostasis,The ability of an organism to maintain stable internal conditions
Cell Membrane,Semi-permeable barrier that controls what enters and exits the cell
Chloroplast,Organelle where photosynthesis occurs in plant cells
Nucleus,Control center of the cell that contains DNA
Ribosome,Cellular structure responsible for protein synthesis
Evolution,The process by which species change over time through natural selection
