Term,Definition
Atom,The smallest unit of a chemical element
Molecule,Two or more atoms chemically bonded together
Ion,An atom or molecule with a net electric charge
pH,A measure of acidity or alkalinity of a solution
Catalyst,A substance that speeds up a chemical reaction without being consumed
Oxidation,The loss of electrons during a chemical reaction
Reduction,The gain of electrons during a chemical reaction
Polymer,A large molecule composed of repeating structural units
Isotope,Atoms of the same element with different numbers of neutrons
Covalent Bond,A chemical bond formed by sharing electrons between atoms
